V1,V2
2007-01-03 09:30:00,501.7
2007-01-03 09:31:00,501.8
2007-01-03 09:32:00,502.18
2007-01-03 09:33:00,502.64
2007-01-03 09:34:00,502.57
2007-01-03 09:35:00,503.57
2007-01-03 09:36:00,504.13
2007-01-03 09:37:00,504.69
2007-01-03 09:38:00,504.88
2007-01-03 09:39:00,505.26
2007-01-03 09:40:00,505.99
2007-01-03 09:41:00,506.55
2007-01-03 09:42:00,506.47
2007-01-03 09:43:00,506.92
2007-01-03 09:44:00,506.47
2007-01-03 09:45:00,506.47
2007-01-03 09:46:00,505.57
2007-01-03 09:47:00,505.48
2007-01-03 09:48:00,505.39
2007-01-03 09:49:00,505.39
2007-01-03 09:50:00,504.85
2007-01-03 09:51:00,504.58
2007-01-03 09:52:00,504.49
2007-01-03 09:53:00,504.85
2007-01-03 09:54:00,504.85
2007-01-03 09:55:00,504.49
2007-01-03 09:56:00,504.12
2007-01-03 09:57:00,503.94
2007-01-03 09:58:00,503.94
2007-01-03 09:59:00,503.49
2007-01-03 10:00:00,503.49
2007-01-03 10:01:00,504.48
2007-01-03 10:02:00,505.11
2007-01-03 10:03:00,504.93
2007-01-03 10:04:00,504.65
2007-01-03 10:05:00,504.84
2007-01-03 10:06:00,504.48
2007-01-03 10:07:00,504.48
2007-01-03 10:08:00,504.39
2007-01-03 10:09:00,503.85
2007-01-03 10:10:00,503.76
2007-01-03 10:11:00,503.49
2007-01-03 10:12:00,503.76
2007-01-03 10:13:00,503.76
2007-01-03 10:14:00,503.76
2007-01-03 10:15:00,504.39
2007-01-03 10:16:00,504.21
2007-01-03 10:17:00,504.12
2007-01-03 10:18:00,504.21
2007-01-03 10:19:00,504.24
2007-01-03 10:20:00,504.39
2007-01-03 10:21:00,504.21
2007-01-03 10:22:00,504.39
2007-01-03 10:23:00,504.57
2007-01-03 10:24:00,504.75
2007-01-03 10:25:00,504.75
2007-01-03 10:26:00,504.75
2007-01-03 10:27:00,504.58
2007-01-03 10:28:00,504.66
